interaction_id,ticket_id,occurred_at,actor,kind,body
INTERACTION-0000001,TICKET-004401,2026-08-17T08:31:00Z,customer,message,Storage fees on invoice 88214 look wrong
INTERACTION-0000002,TICKET-004401,2026-08-17T10:33:00Z,agent,message,First response.
INTERACTION-0000003,TICKET-004405,2026-08-17T11:02:00Z,customer,message,Wave 4471 will not release
INTERACTION-0000004,TICKET-004405,2026-08-17T12:03:00Z,agent,message,First response.
INTERACTION-0000005,TICKET-004409,2026-08-18T06:44:00Z,customer,message,EDI feed rejecting with E-114
INTERACTION-0000006,TICKET-004409,2026-08-18T09:07:00Z,agent,message,First response.
INTERACTION-0000007,TICKET-004411,2026-08-18T09:10:00Z,customer,message,Operator cannot log in
INTERACTION-0000008,TICKET-004411,2026-08-18T17:10:00Z,agent,message,First response.
INTERACTION-0000009,TICKET-004417,2026-08-19T09:02:00Z,customer,message,Refund window for over-billing
INTERACTION-0000010,TICKET-004417,2026-08-19T10:30:00Z,agent,message,First response.
INTERACTION-0000011,TICKET-004420,2026-08-19T13:55:00Z,customer,message,Variance threshold
INTERACTION-0000012,TICKET-004420,2026-08-19T15:31:00Z,agent,message,First response.
INTERACTION-0000013,TICKET-004424,2026-08-20T07:19:00Z,customer,message,Self-service number changed
INTERACTION-0000014,TICKET-004424,2026-08-20T09:36:00Z,agent,message,First response.
INTERACTION-0000015,TICKET-004429,2026-08-20T15:41:00Z,customer,message,Receipt posting twice
INTERACTION-0000016,TICKET-004429,2026-08-20T17:23:00Z,agent,message,First response.
INTERACTION-0000017,TICKET-004433,2026-08-21T08:05:00Z,customer,message,How fast are corrections processed
INTERACTION-0000018,TICKET-004433,2026-08-21T10:11:00Z,agent,message,First response.
INTERACTION-0000019,TICKET-004438,2026-08-21T10:33:00Z,customer,message,Putaway suggesting a full zone
INTERACTION-0000020,TICKET-004438,2026-08-21T12:33:00Z,agent,message,First response.
INTERACTION-0100001,TICKET-005001,2026-06-09T09:41:00Z,customer,message,Initial report.
INTERACTION-0100002,TICKET-005001,2026-06-09T10:52:00Z,agent,message,First response.
INTERACTION-0100003,TICKET-005002,2026-06-17T18:32:00Z,customer,message,Initial report.
INTERACTION-0100004,TICKET-005002,2026-06-17T20:28:00Z,agent,message,First response.
INTERACTION-0100005,TICKET-005003,2026-06-21T10:42:00Z,customer,message,Initial report.
INTERACTION-0100006,TICKET-005003,2026-06-21T13:17:00Z,agent,message,First response.
INTERACTION-0100007,TICKET-005004,2026-06-09T08:47:00Z,customer,message,Initial report.
INTERACTION-0100008,TICKET-005004,2026-06-09T10:44:00Z,agent,message,First response.
INTERACTION-0100009,TICKET-005005,2026-06-25T09:14:00Z,customer,message,Initial report.
INTERACTION-0100010,TICKET-005005,2026-06-25T12:10:00Z,agent,message,First response.
INTERACTION-0100011,TICKET-005006,2026-06-25T16:02:00Z,customer,message,Initial report.
INTERACTION-0100012,TICKET-005006,2026-06-25T19:10:00Z,agent,message,First response.
INTERACTION-0100013,TICKET-005007,2026-06-23T09:08:00Z,customer,message,Initial report.
INTERACTION-0100014,TICKET-005007,2026-06-23T10:32:00Z,agent,message,First response.
INTERACTION-0100015,TICKET-005008,2026-06-14T18:55:00Z,customer,message,Initial report.
INTERACTION-0100016,TICKET-005008,2026-06-14T21:48:00Z,agent,message,First response.
INTERACTION-0100017,TICKET-005009,2026-06-07T13:35:00Z,customer,message,Initial report.
INTERACTION-0100018,TICKET-005009,2026-06-07T16:28:00Z,agent,message,First response.
INTERACTION-0100019,TICKET-005010,2026-06-19T18:15:00Z,customer,message,Initial report.
INTERACTION-0100020,TICKET-005010,2026-06-19T19:57:00Z,agent,message,First response.
INTERACTION-0100021,TICKET-005011,2026-06-20T18:04:00Z,customer,message,Initial report.
INTERACTION-0100022,TICKET-005011,2026-06-20T19:19:00Z,agent,message,First response.
INTERACTION-0100023,TICKET-005012,2026-06-12T12:53:00Z,customer,message,Initial report.
INTERACTION-0100024,TICKET-005012,2026-06-12T13:05:00Z,agent,message,First response.
INTERACTION-0100025,TICKET-005013,2026-06-20T10:22:00Z,customer,message,Initial report.
INTERACTION-0100026,TICKET-005013,2026-06-20T11:51:00Z,agent,message,First response.
INTERACTION-0100027,TICKET-005014,2026-06-18T12:55:00Z,customer,message,Initial report.
INTERACTION-0100028,TICKET-005014,2026-06-18T14:48:00Z,agent,message,First response.
INTERACTION-0100029,TICKET-005015,2026-06-07T07:39:00Z,customer,message,Initial report.
INTERACTION-0100030,TICKET-005015,2026-06-07T10:59:00Z,agent,message,First response.
INTERACTION-0100031,TICKET-005016,2026-06-17T10:22:00Z,customer,message,Initial report.
INTERACTION-0100032,TICKET-005016,2026-06-17T11:35:00Z,agent,message,First response.
INTERACTION-0100033,TICKET-005017,2026-06-24T16:39:00Z,customer,message,Initial report.
INTERACTION-0100034,TICKET-005017,2026-06-24T18:32:00Z,agent,message,First response.
INTERACTION-0100035,TICKET-005018,2026-06-11T15:36:00Z,customer,message,Initial report.
INTERACTION-0100036,TICKET-005018,2026-06-11T17:32:00Z,agent,message,First response.
INTERACTION-0100037,TICKET-005019,2026-06-09T09:43:00Z,customer,message,Initial report.
INTERACTION-0100038,TICKET-005019,2026-06-09T12:18:00Z,agent,message,First response.
INTERACTION-0100039,TICKET-005020,2026-06-16T11:51:00Z,customer,message,Initial report.
INTERACTION-0100040,TICKET-005020,2026-06-16T14:14:00Z,agent,message,First response.
INTERACTION-0100041,TICKET-005021,2026-06-02T17:29:00Z,customer,message,Initial report.
INTERACTION-0100042,TICKET-005021,2026-06-02T18:35:00Z,agent,message,First response.
INTERACTION-0100043,TICKET-005022,2026-06-13T10:33:00Z,customer,message,Initial report.
INTERACTION-0100044,TICKET-005022,2026-06-13T13:25:00Z,agent,message,First response.
INTERACTION-0100045,TICKET-005023,2026-06-24T09:53:00Z,customer,message,Initial report.
INTERACTION-0100046,TICKET-005023,2026-06-24T12:01:00Z,agent,message,First response.
INTERACTION-0100047,TICKET-005024,2026-06-23T11:32:00Z,customer,message,Initial report.
INTERACTION-0100048,TICKET-005024,2026-06-23T11:44:00Z,agent,message,First response.
INTERACTION-0100049,TICKET-005025,2026-06-01T16:49:00Z,customer,message,Initial report.
INTERACTION-0100050,TICKET-005025,2026-06-01T19:27:00Z,agent,message,First response.
INTERACTION-0100051,TICKET-005026,2026-06-18T15:56:00Z,customer,message,Initial report.
INTERACTION-0100052,TICKET-005026,2026-06-18T18:12:00Z,agent,message,First response.
INTERACTION-0100053,TICKET-005027,2026-06-17T14:14:00Z,customer,message,Initial report.
INTERACTION-0100054,TICKET-005027,2026-06-17T16:00:00Z,agent,message,First response.
INTERACTION-0100055,TICKET-005028,2026-06-25T17:02:00Z,customer,message,Initial report.
INTERACTION-0100056,TICKET-005028,2026-06-25T19:02:00Z,agent,message,First response.
INTERACTION-0100057,TICKET-005029,2026-06-11T16:42:00Z,customer,message,Initial report.
INTERACTION-0100058,TICKET-005029,2026-06-11T18:26:00Z,agent,message,First response.
INTERACTION-0100059,TICKET-005030,2026-06-10T15:51:00Z,customer,message,Initial report.
INTERACTION-0100060,TICKET-005030,2026-06-10T16:39:00Z,agent,message,First response.
INTERACTION-0100061,TICKET-005031,2026-06-19T15:59:00Z,customer,message,Initial report.
INTERACTION-0100062,TICKET-005031,2026-06-19T17:01:00Z,agent,message,First response.
INTERACTION-0100063,TICKET-005032,2026-06-11T15:08:00Z,customer,message,Initial report.
INTERACTION-0100064,TICKET-005032,2026-06-11T15:55:00Z,agent,message,First response.
INTERACTION-0100065,TICKET-005033,2026-06-26T09:07:00Z,customer,message,Initial report.
INTERACTION-0100066,TICKET-005033,2026-06-26T10:18:00Z,agent,message,First response.
INTERACTION-0100067,TICKET-005034,2026-06-15T08:34:00Z,customer,message,Initial report.
INTERACTION-0100068,TICKET-005034,2026-06-15T10:42:00Z,agent,message,First response.
INTERACTION-0100069,TICKET-005035,2026-06-15T10:44:00Z,customer,message,Initial report.
INTERACTION-0100070,TICKET-005035,2026-06-15T12:15:00Z,agent,message,First response.
INTERACTION-0100071,TICKET-005036,2026-06-27T08:29:00Z,customer,message,Initial report.
INTERACTION-0100072,TICKET-005036,2026-06-27T09:18:00Z,agent,message,First response.
INTERACTION-0100073,TICKET-005037,2026-06-03T15:14:00Z,customer,message,Initial report.
INTERACTION-0100074,TICKET-005037,2026-06-03T17:09:00Z,agent,message,First response.
INTERACTION-0100075,TICKET-005038,2026-06-27T17:49:00Z,customer,message,Initial report.
INTERACTION-0100076,TICKET-005038,2026-06-27T18:39:00Z,agent,message,First response.
INTERACTION-0100077,TICKET-005039,2026-06-15T13:09:00Z,customer,message,Initial report.
INTERACTION-0100078,TICKET-005039,2026-06-15T16:02:00Z,agent,message,First response.
INTERACTION-0100079,TICKET-005040,2026-06-16T18:43:00Z,customer,message,Initial report.
