proposal_id,ticket_id,created_at,article_ids,confidence,route,route_reason,sent
PRP-000401,TCK-005409,2026-07-09T18:49:00Z,KB-0142,0.56,auto_send,confidence above threshold,1
PRP-000402,TCK-005410,2026-07-22T15:29:00Z,KB-0142,0.72,auto_send,confidence above threshold,1
PRP-000403,TCK-005412,2026-07-27T16:43:00Z,KB-0142,0.81,human_review,area is consequential,0
PRP-000404,TCK-005414,2026-07-22T08:14:00Z,KB-0142,0.94,human_review,area is consequential,0
PRP-000405,TCK-005415,2026-07-25T13:16:00Z,KB-0142,0.73,human_review,area is consequential,0
PRP-000406,TCK-005416,2026-07-12T18:52:00Z,KB-0142,0.77,human_review,area is consequential,0
PRP-000407,TCK-005417,2026-07-07T11:08:00Z,KB-0142,0.65,auto_send,confidence above threshold,1
PRP-000408,TCK-005418,2026-07-04T08:50:00Z,KB-0142,0.96,auto_send,confidence above threshold,1
PRP-000409,TCK-005419,2026-07-12T08:47:00Z,KB-0142,0.69,human_review,area is consequential,0
PRP-000410,TCK-005420,2026-07-05T16:20:00Z,KB-0142,0.89,auto_send,confidence above threshold,1
PRP-000411,TCK-005422,2026-07-04T12:25:00Z,KB-0142,0.95,auto_send,confidence above threshold,1
PRP-000412,TCK-005423,2026-07-01T09:00:00Z,KB-0142,0.59,human_review,area is consequential,0
PRP-000413,TCK-005424,2026-07-01T09:54:00Z,KB-0142,0.66,human_review,area is consequential,0
PRP-000414,TCK-005425,2026-07-12T13:29:00Z,KB-0142,0.59,human_review,area is consequential,0
PRP-000415,TCK-005426,2026-07-16T09:17:00Z,KB-0142,0.81,auto_send,confidence above threshold,1
PRP-000416,TCK-005427,2026-07-12T14:02:00Z,KB-0142,0.68,human_review,area is consequential,0
PRP-000417,TCK-005428,2026-07-04T13:44:00Z,KB-0142,0.58,auto_send,confidence above threshold,1
PRP-000418,TCK-005429,2026-07-13T07:41:00Z,KB-0142,0.72,human_review,area is consequential,0
PRP-000419,TCK-005430,2026-07-23T14:30:00Z,KB-0142,0.86,human_review,area is consequential,0
PRP-000420,TCK-005431,2026-07-06T16:05:00Z,KB-0142,0.6,auto_send,confidence above threshold,1
PRP-000421,TCK-005432,2026-07-02T08:34:00Z,KB-0142,0.85,human_review,area is consequential,0
PRP-000422,TCK-005435,2026-07-13T07:47:00Z,KB-0142,0.96,auto_send,confidence above threshold,1
PRP-000423,TCK-005436,2026-07-27T08:20:00Z,KB-0142,0.72,auto_send,confidence above threshold,1
PRP-000424,TCK-005438,2026-07-25T10:41:00Z,KB-0142,0.88,auto_send,confidence above threshold,1
PRP-000425,TCK-005439,2026-07-05T16:03:00Z,KB-0142,0.85,auto_send,confidence above threshold,1
PRP-000426,TCK-005440,2026-07-25T13:04:00Z,KB-0142,0.67,auto_send,confidence above threshold,1
