suggestion_id,ticket_id,created_at,article_ids,confidence,route,route_reason,sent
SUGGESTION-000401,TICKET-005409,2026-07-09T18:49:00Z,ARTICLE-0142,0.56,auto_send,confidence above threshold,1
SUGGESTION-000402,TICKET-005410,2026-07-22T15:29:00Z,ARTICLE-0142,0.72,auto_send,confidence above threshold,1
SUGGESTION-000403,TICKET-005412,2026-07-27T16:43:00Z,ARTICLE-0142,0.81,human_review,area is consequential,0
SUGGESTION-000404,TICKET-005414,2026-07-22T08:14:00Z,ARTICLE-0142,0.94,human_review,area is consequential,0
SUGGESTION-000405,TICKET-005415,2026-07-25T13:16:00Z,ARTICLE-0142,0.73,human_review,area is consequential,0
SUGGESTION-000406,TICKET-005416,2026-07-12T18:52:00Z,ARTICLE-0142,0.77,human_review,area is consequential,0
SUGGESTION-000407,TICKET-005417,2026-07-07T11:08:00Z,ARTICLE-0142,0.65,auto_send,confidence above threshold,1
SUGGESTION-000408,TICKET-005418,2026-07-04T08:50:00Z,ARTICLE-0142,0.96,auto_send,confidence above threshold,1
SUGGESTION-000409,TICKET-005419,2026-07-12T08:47:00Z,ARTICLE-0142,0.69,human_review,area is consequential,0
SUGGESTION-000410,TICKET-005420,2026-07-05T16:20:00Z,ARTICLE-0142,0.89,auto_send,confidence above threshold,1
SUGGESTION-000411,TICKET-005422,2026-07-04T12:25:00Z,ARTICLE-0142,0.95,auto_send,confidence above threshold,1
SUGGESTION-000412,TICKET-005423,2026-07-01T09:00:00Z,ARTICLE-0142,0.59,human_review,area is consequential,0
SUGGESTION-000413,TICKET-005424,2026-07-01T09:54:00Z,ARTICLE-0142,0.66,human_review,area is consequential,0
SUGGESTION-000414,TICKET-005425,2026-07-12T13:29:00Z,ARTICLE-0142,0.59,human_review,area is consequential,0
SUGGESTION-000415,TICKET-005426,2026-07-16T09:17:00Z,ARTICLE-0142,0.81,auto_send,confidence above threshold,1
SUGGESTION-000416,TICKET-005427,2026-07-12T14:02:00Z,ARTICLE-0142,0.68,human_review,area is consequential,0
SUGGESTION-000417,TICKET-005428,2026-07-04T13:44:00Z,ARTICLE-0142,0.58,auto_send,confidence above threshold,1
SUGGESTION-000418,TICKET-005429,2026-07-13T07:41:00Z,ARTICLE-0142,0.72,human_review,area is consequential,0
SUGGESTION-000419,TICKET-005430,2026-07-23T14:30:00Z,ARTICLE-0142,0.86,human_review,area is consequential,0
SUGGESTION-000420,TICKET-005431,2026-07-06T16:05:00Z,ARTICLE-0142,0.6,auto_send,confidence above threshold,1
SUGGESTION-000421,TICKET-005432,2026-07-02T08:34:00Z,ARTICLE-0142,0.85,human_review,area is consequential,0
SUGGESTION-000422,TICKET-005435,2026-07-13T07:47:00Z,ARTICLE-0142,0.96,auto_send,confidence above threshold,1
SUGGESTION-000423,TICKET-005436,2026-07-27T08:20:00Z,ARTICLE-0142,0.72,auto_send,confidence above threshold,1
SUGGESTION-000424,TICKET-005438,2026-07-25T10:41:00Z,ARTICLE-0142,0.88,auto_send,confidence above threshold,1
SUGGESTION-000425,TICKET-005439,2026-07-05T16:03:00Z,ARTICLE-0142,0.85,auto_send,confidence above threshold,1
SUGGESTION-000426,TICKET-005440,2026-07-25T13:04:00Z,ARTICLE-0142,0.67,auto_send,confidence above threshold,1
SUGGESTION-000427,TICKET-005441,2026-07-09T09:07:00Z,ARTICLE-0142,0.79,auto_send,confidence above threshold,1
SUGGESTION-000428,TICKET-005444,2026-07-01T11:41:00Z,ARTICLE-0142,0.97,auto_send,confidence above threshold,1
SUGGESTION-000429,TICKET-005445,2026-07-07T14:38:00Z,ARTICLE-0142,0.87,auto_send,confidence above threshold,1
SUGGESTION-000430,TICKET-005446,2026-07-13T18:26:00Z,ARTICLE-0142,0.74,human_review,area is consequential,0
SUGGESTION-000431,TICKET-005448,2026-07-03T17:35:00Z,ARTICLE-0142,0.96,human_review,area is consequential,0
SUGGESTION-000432,TICKET-005450,2026-07-20T08:36:00Z,ARTICLE-0142,0.56,human_review,area is consequential,0
SUGGESTION-000433,TICKET-005452,2026-07-25T12:35:00Z,ARTICLE-0142,0.81,auto_send,confidence above threshold,1
SUGGESTION-000434,TICKET-005454,2026-07-12T10:42:00Z,ARTICLE-0142,0.77,auto_send,confidence above threshold,1
SUGGESTION-000435,TICKET-005455,2026-07-18T14:51:00Z,ARTICLE-0142,0.96,auto_send,confidence above threshold,1
SUGGESTION-000436,TICKET-005456,2026-07-24T07:28:00Z,ARTICLE-0142,0.64,auto_send,confidence above threshold,1
SUGGESTION-000437,TICKET-005457,2026-07-17T09:09:00Z,ARTICLE-0142,0.57,human_review,area is consequential,0
SUGGESTION-000438,TICKET-005459,2026-07-27T10:13:00Z,ARTICLE-0142,0.89,human_review,area is consequential,0
SUGGESTION-000439,TICKET-005460,2026-07-18T13:05:00Z,ARTICLE-0142,0.75,auto_send,confidence above threshold,1
SUGGESTION-000440,TICKET-005461,2026-07-21T11:20:00Z,ARTICLE-0142,0.6,human_review,area is consequential,0
SUGGESTION-000441,TICKET-005462,2026-07-17T15:32:00Z,ARTICLE-0142,0.78,auto_send,confidence above threshold,1
SUGGESTION-000442,TICKET-005463,2026-07-26T07:22:00Z,ARTICLE-0142,0.97,auto_send,confidence above threshold,1
SUGGESTION-000443,TICKET-005464,2026-07-01T08:01:00Z,ARTICLE-0142,0.8,human_review,area is consequential,0
SUGGESTION-000444,TICKET-005465,2026-07-27T07:03:00Z,ARTICLE-0142,0.87,human_review,area is consequential,0
SUGGESTION-000445,TICKET-005467,2026-07-15T08:58:00Z,ARTICLE-0142,0.61,auto_send,confidence above threshold,1
SUGGESTION-000446,TICKET-005468,2026-07-16T15:16:00Z,ARTICLE-0142,0.65,human_review,area is consequential,0
SUGGESTION-000447,TICKET-005469,2026-07-01T11:48:00Z,ARTICLE-0142,0.62,auto_send,confidence above threshold,1
SUGGESTION-000448,TICKET-005471,2026-07-01T09:52:00Z,ARTICLE-0142,0.81,human_review,area is consequential,0
SUGGESTION-000449,TICKET-005472,2026-07-23T09:44:00Z,ARTICLE-0142,0.57,human_review,area is consequential,0
SUGGESTION-000450,TICKET-005474,2026-07-16T14:32:00Z,ARTICLE-0142,0.73,auto_send,confidence above threshold,1
SUGGESTION-000451,TICKET-005475,2026-07-25T13:56:00Z,ARTICLE-0142,0.91,human_review,area is consequential,0
